id,dexNum,methodCount,classification,unknownScopeMethodCount
"mantyke","458","0","single_record","0"
"snover","459","0","classified_fixed","0"
"snover-f","459","0","classified_fixed","0"
"abomasnow","460","2","modeled","0"
"abomasnow-f","460","2","modeled","0"
"abomasnow-mega","460","2","modeled","0"
"weavile","461","0","classified_fixed","0"
"weavile-f","461","0","classified_fixed","0"
"magnezone","462","0","single_record","0"
"lickilicky","463","0","single_record","0"
"rhyperior","464","0","classified_fixed","0"
"rhyperior-f","464","0","classified_fixed","0"
"tangrowth","465","0","classified_fixed","0"
"tangrowth-f","465","0","classified_fixed","0"
"electivire","466","0","single_record","0"
"magmortar","467","0","single_record","0"
"togekiss","468","0","single_record","0"
"yanmega","469","0","single_record","0"
"leafeon","470","0","single_record","0"
"glaceon","471","0","single_record","0"
"gliscor","472","0","single_record","0"
"mamoswine","473","0","classified_fixed","0"
"mamoswine-f","473","0","classified_fixed","0"
"porygonz","474","0","single_record","0"
"gallade","475","2","modeled","0"
"gallade-mega","475","2","modeled","0"
"probopass","476","0","single_record","0"
"dusknoir","477","0","single_record","0"
"froslass","478","1","modeled","0"
